"ID","Player","Team","Position","RkOv","Status","Age","Score","FGM","FG%","3PTM","3PT%","FT%","PTS","OREB","DREB","AST","ST","BLK","TO","A/TO"
"*03e75*","Nikola Jokic","DEN","C","1","Yarrrr","31","100","10.4",".583","1.1",".359",".817","26.4","2.8","9.5","9.0","1.4","0.9","3.0","2.99"
"*04kj6*","Luka Doncic","DAL","PG,G","2","LRBP","27","98.5","11.5",".487","4.1",".382",".786","33.9","0.8","8.4","9.8","1.4","0.5","4.0","2.43"
"*06cch*","Victor Wembanyama","SA","PF,F,C","3","PNB","22","97.81","7.8",".465","1.8",".325",".796","21.4","2.3","8.4","3.9","1.2","3.6","3.7","1.05"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F","4","Johnny","28","95.98","9.1",".471","3.1",".376",".833","26.9","0.9","7.2","4.9","1.0","0.6","2.5","1.94"
"*001aw*","Kevin Durant","PHO","SF,PF,F","5","Goat","37","94.6","10.0",".523","2.2",".413",".856","27.1","0.5","6.1","5.0","0.9","1.2","3.3","1.55"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,SG,G","6","Guns","27","94.56","10.6",".535","1.3",".353",".874","30.1","0.9","4.7","6.2","2.0","0.9","2.2","2.87"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F","7","Johnny","24","94.49","9.1",".461","2.4",".357",".836","25.9","0.7","4.8","5.1","1.3","0.5","3.1","1.68"
"*049kb*","De'Aaron Fox","SAC","PG,G","8","SaraS","28","94.44","9.7",".465","2.9",".369",".738","26.6","0.9","3.7","5.6","2.0","0.4","2.6","2.15"
"*027oz*","Kawhi Leonard","LAC","SG,G,SF,PF,F","9","Dcks","34","93.76","9.0",".525","2.1",".417",".885","23.7","1.2","4.9","3.6","1.6","0.9","1.8","2.05"
"*031m2*","Giannis Antetokounmpo","MIL","PF,F,C","10","Yarrrr","31","93.52","11.5",".611","0.5",".274",".657","30.4","2.7","8.8","6.5","1.2","1.1","3.4","1.90"
"*042nq*","Dejounte Murray","ATL","PG,SG,G","11","Devs","29","93.48","8.6",".459","2.6",".363",".794","22.5","0.8","4.5","6.4","1.4","0.3","2.6","2.50"
"*02nf1*","Anthony Davis","LAL","PF,F,C","12","Guns","33","93.43","9.4",".556","0.4",".271",".816","24.7","3.1","9.5","3.5","1.2","2.3","2.1","1.67"
"*0011e*","LeBron James","LAL","SF,PF,F","13","Sam🗻🥃","41","93.4","9.6",".540","2.1",".410",".750","25.7","0.9","6.4","8.3","1.3","0.5","3.5","2.40"
"*06211*","Chet Holmgren","OKC","PF,F,C","14","LRBP","23","93.04","6.2",".530","1.6",".370",".793","16.5","1.6","6.3","2.4","0.6","2.3","1.6","1.53"
"*04848*","Fred VanVleet","HOU","PG,G","15","Dcks","32","92.42","5.8",".416","3.1",".387",".860","17.4","0.5","3.4","8.1","1.4","0.8","1.7","4.67"
"*01uyj*","Paul George","LAC","SF,PF,F","16","Dcks","35","92.21","7.9",".471","3.3",".413",".907","22.6","0.5","4.7","3.5","1.5","0.5","2.1","1.71"
"*06210*","Paolo Banchero","ORL","SF,PF,F","17","LRBP","23","91.53","8.0",".455","1.5",".339",".725","22.6","1.0","5.9","5.4","0.9","0.6","3.1","1.74"
"*04qrn*","Mikal Bridges","BKN","SG,G,SF,PF,F","18","Dcks","29","91.45","6.9",".436","2.7",".372",".814","19.6","0.8","3.7","3.6","1.0","0.4","2.0","1.82"
"*027p0*","Nikola Vucevic","CHI","C","19","Dcks","35","91.33","7.7",".484","1.2",".294",".822","18.0","2.8","7.8","3.3","0.7","0.8","1.6","2.12"
"*05uie*","Scottie Barnes","TOR","SG,G,SF,PF,F","20","Johnny","24","90.94","7.5",".475","1.7",".341",".781","19.9","2.4","5.9","6.0","1.3","1.5","2.8","2.20"
"*05qsq*","Tyrese Maxey","PHI","PG,SG,G","21","Brid","25","90.67","9.1",".450","3.0",".373",".868","25.9","0.5","3.2","6.2","1.0","0.5","1.7","3.73"
"*04ewt*","Derrick White","BOS","PG,SG,G","22","Thad","31","90.37","5.3",".461","2.7",".396",".901","15.2","0.7","3.5","5.2","1.0","1.2","1.5","3.37"
"*05qtv*","Tyrese Haliburton","IND","PG,SG,G","23","zambo","26","90.32","7.2",".477","2.8",".364",".855","20.1","0.5","3.4","10.9","1.2","0.7","2.3","4.73"
"*042n7*","Domantas Sabonis","SAC","PF,F,C","24","Dcks","29","90.3","7.7",".594","0.4",".379",".704","19.4","3.6","10.1","8.2","0.9","0.6","3.3","2.47"
"*04qrj*","Jaren Jackson","MEM","PF,F,C","25","zambo","26","89.98","7.8",".444","1.8",".320",".808","22.5","1.3","4.2","2.3","1.2","1.6","2.4","0.96"
"*042nm*","Pascal Siakam","TOR/IND","PF,F,C","26","Devs","31","89.32","8.5",".536","1.1",".346",".732","21.7","1.7","5.3","4.3","0.8","0.3","1.8","2.43"
